trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
109,False,"{'a': 0.19999999999999982, 'e': 0.11304153064044985}",25,0,30.004236904197093,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.19999999999999982, 'e': 0.11080315836233387}",20,11,12.311198378738679,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.19999999999999982, 'e': 0.10860910882495796}",20,3,-26.681399788945527,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
112,False,"{'a': 0.19999999999999982, 'e': 0.1064585043792528}",25,0,29.57078236080366,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
113,False,"{'a': 0.19999999999999982, 'e': 0.104350484754765}",20,10,20.681167039898497,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.19999999999999982, 'e': 0.10228420671553744}",30,0,16.60689568438715,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
115,False,"{'a': 0.19999999999999982, 'e': 0.1002588437228037}",20,9,25.01419153560506,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.19999999999999982, 'e': 0.09827358560436154}",20,5,16.195905502793313,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.19999999999999982, 'e': 0.09632763823049303}",35,23,18.660724611630346,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.19999999999999982, 'e': 0.09442022319630235}",20,1,21.72085744945,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.19999999999999982, 'e': 0.09255057751034329}",20,0,23.06466664601663,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.19999999999999982, 'e': 0.09071795328941251}",20,2,26.061855334099313,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.19999999999999982, 'e': 0.08892161745938634}",30,4,31.717391501009523,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.19999999999999982, 'e': 0.0871608514619813}",20,5,20.246469643712487,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.19999999999999982, 'e': 0.08543495096732123}",20,7,20.000368345439973,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.19999999999999982, 'e': 0.08374322559219596}",20,8,22.25512973346714,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.19999999999999982, 'e': 0.0820849986238988}",25,18,3.905116513412246,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.19999999999999982, 'e': 0.08045960674953244}",30,10,37.032201698861854,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.19999999999999982, 'e': 0.07886639979067495}",25,16,20.143518658730123,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.19999999999999982, 'e': 0.07730474044329974}",20,11,16.69996538590641,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.19999999999999982, 'e': 0.07577400402284548}",20,4,23.75907641427457,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.19999999999999982, 'e': 0.07427357821433388}",20,9,22.16902508892258,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.19999999999999982, 'e': 0.07280286282743559}",30,8,38.28365028614489,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.19999999999999982, 'e': 0.07136126955638605}",20,0,16.24204520840163,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
133,False,"{'a': 0.19999999999999982, 'e': 0.06994822174465536}",35,23,-24.20886810966816,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 0.19999999999999982, 'e': 0.06856315415427791}",20,12,-0.33497437640620187,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.19999999999999982, 'e': 0.06720551273974976}",20,9,5.95014115847735,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.19999999999999982, 'e': 0.06587475442640295}",20,16,8.620449543850809,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.19999999999999982, 'e': 0.06457034689316847}",30,15,24.042069620843066,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
